"X0","X1","X2","X3","X4","X5","X6","X7"
1.1908746041880527e-01,2.6815271901477868e+03,1.0093929507965311e+05,9.9846625697202910e+02,6.7390243630518384e+01,8.0744177230809260e+02,1.1388763543729792e+03,1.0900231993069374e+04
6.6940295845451026e-02,1.4343552166695641e+04,8.1309613480476037e+04,1.0710402403190824e+03,8.3543006554196467e+01,7.4596387809063935e+02,1.1341258796990185e+03,1.1017796980764915e+04
1.1773913951886457e-01,1.6276642278766012e+04,8.7079887972240656e+04,1.0330948823128067e+03,7.0741818545365106e+01,7.6512062591889821e+02,1.5941718130570955e+03,1.0386066069492490e+04
9.9004711596336628e-02,7.5475097373919709e+02,9.7156197420511278e+04,1.0349599294794598e+03,6.8859994520661772e+01,7.9223242027044364e+02,1.4318666571529780e+03,1.1246787094899217e+04
6.9431439517328802e-02,8.3119541203564847e+02,9.4148031212048721e+04,1.0720581940929167e+03,6.9750437155396241e+01,7.5320789370058571e+02,1.3232477214022301e+03,1.0520641523363205e+04
1.0426462110077638e-01,5.0079455854593903e+02,1.1435362784493942e+05,1.0498544714638540e+03,1.1063484089281005e+02,7.5459970992453623e+02,1.5440945282440739e+03,9.9242478985615780e+03
1.0162342886400752e-01,1.0386241207480725e+03,8.4850766052706502e+04,1.0065219241743022e+03,7.8885182693795713e+01,7.5526137363212979e+02,1.5863438339860390e+03,1.1858943709538529e+04
1.1172994093508758e-01,1.1853696721700910e+03,7.0074217191828211e+04,9.9441369017185639e+02,7.6850759602448321e+01,7.8671576814089394e+02,1.2425159735496554e+03,9.8862111544492200e+03
6.9273909162742814e-02,1.1956745414117429e+04,8.3063133272432926e+04,1.0739804339700099e+03,1.0508533882604193e+02,7.0204104812762671e+02,1.3057284450126447e+03,1.1784083075443588e+04
1.1340945631284373e-01,4.6377693425513525e+02,8.4898707389983028e+04,1.0263587426915856e+03,1.1504819543558663e+02,7.9609608978839628e+02,1.5473715450525203e+03,1.1111880646187470e+04
8.9114862667749220e-02,1.8622960027735671e+03,9.0010860150751207e+04,1.0353553632483981e+03,1.0204988588862113e+02,8.0781860970180412e+02,1.6441999880467565e+03,1.1936036324971587e+04
9.8596777473457284e-02,2.0193661231036067e+03,6.7298154099859996e+04,1.0061415638325224e+03,9.5043344294425737e+01,8.1009989396995582e+02,1.6220964060699896e+03,1.0455022256526961e+04
1.2487523106860325e-01,1.2238036254324102e+03,7.9991271636848163e+04,1.0722914098128238e+03,9.5337786388996577e+01,7.2268919180391231e+02,1.3123334066352813e+03,1.1472956665985930e+04
8.6405963000661584e-02,1.2597757236167979e+03,1.0766222070441282e+05,1.0173773282320187e+03,9.0540928263642229e+01,7.7160608557945307e+02,1.1986828886043188e+03,1.0789503720876737e+04
7.1275723443646605e-02,3.6514176150407575e+03,7.1987251824738778e+04,1.0026364284210642e+03,9.6679965578545961e+01,8.0649753699889004e+02,1.5664652756900557e+03,1.1762326187387363e+04
1.0132561104527199e-01,1.5389105262610516e+04,7.9158211240009507e+04,1.1035362557403478e+03,8.6122985344760309e+01,7.2064394847915685e+02,1.1485750044279675e+03,1.0108853059999310e+04
1.1178406427626310e-01,2.5562159253559817e+03,6.3291060104167074e+04,1.0477779315425291e+03,8.0855425752190513e+01,7.9543025661992226e+02,1.5013485321306321e+03,1.1574086138418514e+04
