"X0","X1","X2","X3","X4","X5","X6","X7"
1.1749001254140862e-01,1.3576471218211798e+04,1.1188488636588726e+05,1.0178389667029896e+03,9.5597215144287190e+01,7.4171553117627275e+02,1.2901912814398365e+03,9.8652768552726920e+03
1.3308530595460116e-01,1.4499677658389553e+03,1.0189851430254245e+05,1.1020061799849013e+03,7.8690148036121741e+01,7.4242302838454430e+02,1.4831248061111783e+03,1.0341662711097460e+04
6.9252029289087316e-02,5.6004587975254310e+02,9.8009100806605697e+04,1.0191219087248603e+03,7.7438453298316276e+01,7.0174585158311584e+02,1.5587344514342878e+03,1.1143756682265932e+04
1.2965382466217185e-01,2.4225067895749789e+03,1.0014530793078073e+05,1.0911974880689640e+03,6.4548706247217396e+01,7.8159349694355274e+02,1.3379521551166331e+03,1.1464017407711855e+04
9.5345391901783746e-02,4.1157735812687379e+03,1.0468148438540063e+05,1.0184492750050136e+03,1.0364027681693253e+02,7.8490747933186037e+02,1.5118199162508997e+03,9.9194468397079709e+03
1.4537384445016668e-01,2.6865132749096560e+03,1.0482643300463929e+05,9.9387306727982821e+02,6.5539799223208391e+01,7.9892686316007314e+02,1.5872002775919116e+03,1.0201132393443822e+04
8.9713085490488370e-02,4.5502824655752702e+03,7.2982049719472561e+04,1.0170737978368740e+03,1.0817349552445226e+02,7.0069162104470763e+02,1.1645285948436174e+03,1.1494753938181331e+04
8.7667420084444198e-02,5.4987684465400953e+03,6.8927717709047851e+04,1.0153956141991274e+03,9.5587111040296094e+01,7.5814934210732201e+02,1.5198736601216658e+03,1.0331159385288449e+04
1.0098811895877362e-01,5.2918688157189981e+03,1.0581029579997074e+05,1.0807454450613291e+03,8.5100160478077612e+01,7.2098184275569577e+02,1.3432455385857490e+03,1.0558476936658149e+04
7.5646619244364055e-02,3.9683528309148928e+03,7.4466383130911257e+04,1.0667624740738154e+03,6.5360665297517599e+01,7.3550842106245148e+02,1.4891390031755607e+03,1.1991387886959519e+04
1.0684732276185933e-01,7.8817764854348559e+02,6.6181851399965948e+04,1.0406962413240763e+03,8.9325150071219895e+01,7.4943688954419554e+02,1.5635082241843052e+03,1.0926116531630676e+04
1.0345559782834088e-01,3.8862305070883699e+03,6.6377358636994555e+04,1.0640553445056910e+03,1.0466967648230130e+02,8.0358797617936375e+02,1.5954389534353759e+03,1.1274353371626497e+04
5.9821856587836501e-02,8.9693711949105216e+02,1.1012242011656538e+05,1.0240457139153880e+03,1.1089600195804985e+02,7.5319600072439437e+02,1.5101889308366860e+03,1.1162352464057110e+04
1.0870934007205953e-01,2.0911790057051990e+03,7.1514421678073399e+04,1.1035764908370875e+03,1.0614608207453544e+02,7.3437904586997001e+02,1.5727127766311855e+03,1.0034293479282473e+04
9.0616946801136744e-02,2.5502798110611166e+03,6.3853532655030373e+04,1.0726820867283543e+03,8.2277802240861746e+01,8.0338489500459400e+02,1.6300055072754940e+03,1.0826990385104247e+04
1.0306562688539567e-01,3.0319144011911958e+03,6.8750797818772116e+04,1.0124721266563128e+03,1.0552581216332200e+02,7.9161691290126464e+02,1.1321822720693440e+03,1.2013248886302248e+04
1.1306936156446523e-01,3.8229713889618133e+03,7.5969640091170790e+04,1.0871490704894745e+03,1.0448609895955144e+02,7.2803583831302649e+02,1.1988230525675810e+03,1.1471389421029433e+04
1.0723971849070225e-01,7.6252438012677112e+02,9.9207638473401661e+04,1.0997664142822805e+03,7.1093971404008755e+01,7.1965114760099334e+02,1.1585058862384290e+03,1.0637704650847307e+04
1.1314649968993214e-01,1.2499407138005549e+03,9.1475501631329113e+04,1.0374568612910775e+03,1.1583076678386470e+02,7.1856017292660465e+02,1.1534395549362857e+03,1.1546537218775973e+04
1.2860748097085420e-01,3.0686246147008575e+02,1.1038410225152349e+05,1.0906612937396710e+03,8.9257211068100872e+01,7.0174132643364237e+02,1.4514364082865845e+03,1.1238060540765277e+04
7.8151216677243424e-02,4.6855219793222830e+02,9.8165798910552054e+04,1.0664778542504296e+03,7.9688363701672486e+01,7.9265560562173096e+02,1.3230296088025580e+03,1.1050436919444202e+04
1.3662242823266313e-01,2.2382409841195957e+02,9.6771556591989225e+04,1.0431142788417283e+03,6.3375712773808040e+01,8.0606141606776634e+02,1.1869824800300626e+03,9.9469864085217196e+03
9.0357761509524029e-02,2.4878908852306417e+03,9.3620355853785077e+04,1.0344702400885815e+03,6.8706975015866362e+01,7.3072543906325359e+02,1.2905422530415804e+03,1.0525762322904890e+04
9.7271476856907332e-02,1.7012174098101659e+03,7.4134901758253647e+04,9.9019818511146013e+02,6.4058327197108127e+01,7.7230699798002195e+02,1.6231815156458088e+03,1.0702185161294501e+04
8.0541835397017772e-02,2.4003671862493837e+02,1.1075200855770757e+05,1.0917845220294600e+03,8.8939748686685562e+01,7.1074004186099194e+02,1.6125542567100174e+03,1.0859642288613008e+04
9.7984556059515490e-02,8.9566826670734226e+03,1.0058556757020950e+05,1.0410103591431280e+03,6.9279670428617521e+01,7.9078442593008845e+02,1.2732041592636563e+03,1.0139818617589970e+04
9.7386499817386049e-02,5.5023669481037323e+03,8.2606740488994925e+04,1.1048633944289845e+03,7.8405923887230898e+01,7.3960422241610286e+02,1.1973749523941808e+03,1.0645326386878967e+04
1.1743131960970014e-01,2.8772643516783774e+03,8.6241405618177087e+04,1.0623412018690640e+03,1.0325838454620191e+02,8.1391020099096932e+02,1.4047518800311764e+03,1.1571097868792771e+04
8.8606608437658413e-02,7.7483202216978236e+02,9.4313155414177600e+04,1.0386413666178917e+03,9.6757136280903040e+01,7.3116849140092881e+02,1.6598955339118531e+03,1.1882095648559143e+04
1.2480658821984464e-01,1.2136386775049411e+03,9.3678434202945238e+04,1.0009482491001746e+03,9.4071723566349604e+01,7.6207763436895675e+02,1.2076854617823010e+03,1.1345578643532735e+04
1.1769019606200842e-01,7.9765421747610426e+03,9.4921042766573475e+04,1.0068833659711566e+03,7.9392487371921888e+01,7.7903534188806623e+02,1.3355327082655406e+03,1.0548232606713897e+04
1.0306519343898501e-01,1.2250417461769430e+03,9.8734145152548881e+04,1.0671125919440533e+03,1.0289885164176117e+02,7.9663329797646747e+02,1.6430898715580265e+03,1.0884327509655179e+04
1.0648160251074061e-01,7.7808011384876102e+02,1.0679178045771514e+05,1.0805212093466782e+03,9.6067421722698668e+01,7.2941442999778201e+02,1.1585835465359360e+03,1.0545164500175066e+04
1.0928272422060251e-01,4.6459674667914845e+02,1.0619839678949978e+05,1.0101693823365136e+03,9.6340034237784096e+01,7.4509700948311820e+02,1.5144936046672040e+03,1.2033787219074729e+04
9.7948861704966930e-02,1.1412416850588536e+03,7.4451079016512522e+04,1.0092105626132055e+03,8.8176109569994523e+01,8.1873804281951027e+02,1.5353560629094554e+03,1.1892468473238630e+04
1.0208778796848146e-01,1.5658769636195606e+02,6.4930476297111229e+04,1.1069568462121106e+03,8.7216670533150364e+01,7.5191233668444943e+02,1.1562486218098977e+03,9.9205467683659117e+03
1.2046014831252358e-01,7.3336465423032696e+03,8.2411524560388265e+04,1.0631499262605623e+03,1.1304992864270719e+02,7.0156354164875711e+02,1.2220109280439822e+03,1.1219196203454736e+04
1.0611952575156908e-01,2.9002005291177761e+03,8.3027836767901303e+04,1.0363467447498792e+03,9.3549459661024670e+01,7.6286558070792773e+02,1.2202657167420314e+03,1.1150727944300435e+04
6.4131679489300722e-02,1.2676365041618501e+04,8.2545823203269218e+04,1.0929571807976945e+03,8.8837901403022201e+01,7.3843818314863745e+02,1.3795468975787874e+03,1.0368953906601635e+04
1.0020680962037479e-01,6.3982579849136073e+02,9.7737364655915590e+04,9.9762528179787989e+02,6.6863408321515351e+01,7.9518248250668216e+02,1.4940483150190203e+03,1.1857002171744231e+04
1.0032237671266257e-01,1.5008432538569600e+03,9.9592278498284781e+04,1.0429521211593192e+03,7.1663006947235630e+01,7.3494344653580845e+02,1.4638975457167066e+03,9.9831445606558955e+03
7.5381078027579623e-02,1.1027723032342508e+03,9.0594145989928686e+04,9.9041369201835471e+02,1.0866217150810957e+02,8.1172851204541473e+02,1.5434961979860443e+03,1.0405588689132033e+04
1.2163366459185089e-01,4.3730805551819567e+03,7.4811644145011582e+04,1.0149670523014344e+03,8.0141916636899566e+01,8.1127174217165316e+02,1.6605073932792425e+03,1.1992711185876127e+04
1.1663614699529272e-01,1.8367241055157485e+03,9.1635913115755669e+04,1.0173931782966878e+03,8.2464686299206264e+01,7.6516123159408312e+02,1.4286739459499936e+03,1.1236602007387284e+04
1.1365767605486422e-01,5.6157407948511709e+03,1.0580812373631753e+05,1.0616841687260028e+03,8.8217494432110726e+01,7.4373041950639799e+02,1.4722021871261909e+03,1.1735084092268395e+04
9.7200267325814507e-02,3.7862843160261805e+03,7.0622845376470141e+04,1.1021004749110984e+03,8.6955511846743590e+01,7.5108607490848385e+02,1.3220874285876689e+03,1.2015838607439659e+04
9.2888828757389699e-02,1.4131234438144872e+03,6.8832088341320632e+04,1.0115666144559179e+03,9.9474512970036358e+01,7.9926082963596423e+02,1.2885101363789922e+03,1.1318013346953867e+04
