"X0","X1","X2","X3","X4","X5","X6","X7"
9.1202916581599833e-02,8.9699690542631779e+03,8.6484311157165357e+04,1.0130857688487880e+03,7.4520169660969941e+01,8.0422187972224208e+02,1.2927740026874842e+03,1.0025541550060048e+04
1.1468966309019674e-01,4.7051192485908911e+02,1.1294344282392418e+05,1.0071408245761304e+03,6.9862384622230849e+01,7.6030879263201268e+02,1.2399877215149800e+03,1.0507872876842495e+04
1.3180720307235930e-01,6.8559987243361854e+02,1.0967324528811540e+05,1.0120610086384330e+03,1.0571691660679798e+02,7.1469364141708104e+02,1.5711196637209325e+03,1.1281205711735103e+04
1.0812457377020399e-01,6.3974299706177010e+02,8.4038348874731193e+04,1.0148749938179780e+03,1.0340961953654252e+02,7.7645160671178337e+02,1.4192979764576939e+03,1.0389241003558953e+04
9.2201018121742750e-02,6.8072433327875183e+02,1.0214134723311555e+05,1.0511376936145293e+03,9.2044126188870365e+01,7.2403308487549475e+02,1.5015550321263026e+03,1.0946040097575071e+04
1.0052051577111983e-01,5.7348427838611933e+03,1.0244402939509535e+05,1.0126092637813841e+03,9.4002987257582191e+01,7.9635243695760141e+02,1.1411335583212551e+03,1.1308018586154667e+04
1.0157783193771221e-01,4.9481734324965364e+03,6.7972478020883427e+04,1.0432055552037255e+03,1.1288436261018879e+02,7.4184011017421278e+02,1.5590303240389478e+03,1.1575449311548495e+04
7.0759860918485573e-02,4.1972553810526852e+03,1.0586101067880841e+05,1.0586899988041675e+03,9.0932136160053901e+01,7.3864882569201404e+02,1.3288509465631687e+03,1.1364611128784596e+04
9.2402447912598870e-02,5.2487133410839460e+03,7.6836435273428942e+04,9.9154958342207976e+02,1.0986110469376271e+02,8.1505298544789309e+02,1.3527046467231296e+03,1.1711196101022982e+04
1.3130261689098571e-01,1.8950304180915402e+03,1.0924992807955663e+05,1.0744830825872452e+03,7.9058530997622654e+01,8.0785941242570129e+02,1.2931698351399586e+03,1.1830743426639296e+04
9.1850764071456689e-02,1.4421817404564057e+04,9.2825276049521897e+04,1.0856973224437040e+03,1.0265603252138479e+02,7.1053853539275713e+02,1.5815973338182271e+03,1.0168150372908574e+04
5.8238123981120216e-02,1.3418946880246162e+03,1.0642969652678000e+05,1.0750297709881518e+03,1.0759618262982818e+02,8.0101754593057171e+02,1.2182538700897344e+03,1.1165067717539880e+04
1.1329919918778583e-01,5.4490200746887931e+03,8.7985300582318407e+04,1.0021625000993621e+03,7.7889960048382378e+01,7.0137515958508664e+02,1.4619161405932994e+03,1.1851090113734048e+04
9.0835567897884245e-02,6.3746356318741152e+02,7.6548346046510342e+04,1.0226431089959199e+03,9.6729407216316076e+01,7.4184481595874036e+02,1.1240505117531311e+03,1.0364405008949176e+04
1.1908858875992046e-01,9.2975685073666614e+02,9.5718968285603609e+04,1.0211222209162103e+03,8.5556717955492161e+01,7.0165084037398401e+02,1.5555946189259857e+03,9.9097586898702702e+03
1.1645023506167122e-01,3.4710855461544276e+02,1.1481614262591480e+05,1.0675194302729062e+03,8.8472871618692793e+01,8.1331216929386233e+02,1.5434984186674692e+03,9.9874314210206830e+03
1.2464680536785766e-01,1.7971259349636498e+03,9.9915002967960812e+04,1.0415664304035054e+03,7.3893792568994101e+01,7.7683145743884984e+02,1.4567325948274793e+03,1.0592916274723349e+04
8.5978594491558327e-02,7.2910098999121601e+02,6.5885820344917433e+04,1.0571486869915468e+03,1.0472794094464170e+02,7.8651534471389095e+02,1.3904150166197298e+03,1.0950426194036743e+04
1.0636944625069374e-01,6.2207966182541838e+02,1.0796246471515385e+05,1.0950257335501537e+03,9.5744825627398825e+01,7.7220000423558463e+02,1.3877165728494592e+03,1.1365977043651363e+04
9.2071011956146254e-02,3.3568267049232668e+03,1.1472641377115698e+05,1.0558431217223892e+03,1.0843997258601922e+02,7.2929103097167990e+02,1.1695293862443041e+03,1.1949138096474178e+04
