"outer iteration","expectation estimate","lower bound","upper bound"
1.0000000000000000e+00,9.6193430412127479e-01,6.8447019274790666e-01,1.0068122495799325e+00
2.0000000000000000e+00,8.4564122116391960e-01,7.3024961233884023e-01,1.2713432427002367e+00
3.0000000000000000e+00,1.0007964275195385e+00,8.1611622221756552e-01,1.2284351926461816e+00
4.0000000000000000e+00,1.0222757074318736e+00,8.5693088322281541e-01,1.1867892783914269e+00
5.0000000000000000e+00,1.0218600808071212e+00,8.6873841176828348e-01,1.1478682401836964e+00
6.0000000000000000e+00,1.0083033259759899e+00,9.0845635561864813e-01,1.1987834600032401e+00
7.0000000000000000e+00,1.0536199078109441e+00,9.1987365262591214e-01,1.1749308550845152e+00
8.0000000000000000e+00,1.0474022538552137e+00,8.9920109093707279e-01,1.1446749156019742e+00
9.0000000000000000e+00,1.0219380032695236e+00,9.1943395489434676e-01,1.1430546199132310e+00
1.0000000000000000e+01,1.0312442874037888e+00,9.1333455645297179e-01,1.1225964309251422e+00
1.1000000000000000e+01,1.0179654936890570e+00,9.3677827739160280e-01,1.1603305705041849e+00
1.2000000000000000e+01,1.0485544239478939e+00,9.3382600778369573e-01,1.1435131354903132e+00
1.3000000000000000e+01,1.0386695716370045e+00,9.5560261042465056e-01,1.1733551654655301e+00
1.4000000000000000e+01,1.0644788879450904e+00,9.3910015101964639e-01,1.1536115292997522e+00
1.5000000000000000e+01,1.0463558401596993e+00,9.1644483331556115e-01,1.1333881446545533e+00
1.6000000000000000e+01,1.0249164889850573e+00,9.3651062903773774e-01,1.1567781535475259e+00
1.7000000000000000e+01,1.0466443912926318e+00,9.3380088809338013e-01,1.1439310905364473e+00
1.8000000000000000e+01,1.0388659893149137e+00,9.2045495085357631e-01,1.1274815192542058e+00
1.9000000000000000e+01,1.0239682350538910e+00,9.2854737272544385e-01,1.1255776061715874e+00
2.0000000000000000e+01,1.0270624894485156e+00,9.3270338570600964e-01,1.1203621681859202e+00
2.1000000000000000e+01,1.0265327769459649e+00,9.3776474181927083e-01,1.1169204261509418e+00
2.2000000000000000e+01,1.0273425839851063e+00,9.3916285700320767e-01,1.1107710175666619e+00
2.3000000000000000e+01,1.0249669372849348e+00,9.4011617541735126e-01,1.1048499766264277e+00
2.4000000000000000e+01,1.0224830760218895e+00,9.3598872098882813e-01,1.0960652934597765e+00
2.5000000000000000e+01,1.0160270072243023e+00,9.3298600231461570e-01,1.0882926888218059e+00
2.6000000000000000e+01,1.0106393455682108e+00,9.4407330431710823e-01,1.0998295724200355e+00
