Sample Size,Mean Estimate,Lower Bound,Upper Bound
1.0,3.664992641272236,3.5831727792311474,3.7468125033133246
2.0,3.60002309368489,3.518203231643801,3.6818429557259784
3.0,3.8866813594808582,3.8048614974397696,3.968501221521947
4.0,3.208306343087078,3.1264864810459896,3.290126205128167
5.0,3.3801364049887432,3.2983165429476546,3.461956267029832
6.0,3.952261808475107,3.8704419464340183,4.034081670516195
7.0,3.7625536430290256,3.680733780987937,3.844373505070114
8.0,3.85410981720722,3.7722899551661313,3.9359296792483085
9.0,4.156631125926211,4.074811263885122,4.238450987967299
10.0,4.139950946522896,4.058131084481808,4.221770808563985
11.0,4.228368021026602,4.146548158985514,4.310187883067691
12.0,3.9078017934696416,3.825981931428553,3.9896216555107302
13.0,3.9615265099549237,3.879706647913835,4.043346371996012
14.0,3.7638999399748707,3.682080077933782,3.8457198020159593
15.0,3.667453469517534,3.585633607476445,3.7492733315586224
16.0,3.514437710722313,3.4326178486812244,3.5962575727634016
17.0,3.5602652884398753,3.4784454263987867,3.642085150480964
18.0,3.8034078322316245,3.721587970190536,3.885227694272713
19.0,3.7643119079548475,3.682492045913759,3.846131769995936
20.0,3.7067835422920026,3.624963680250914,3.788603404333091
21.0,3.5651889207626177,3.483369058721529,3.6470087828037063
22.0,3.622053049699316,3.5402331876582274,3.7038729117404046
23.0,3.6429117965743196,3.561091934533231,3.7247316586154082
24.0,3.582263066820106,3.5004432047790175,3.6640829288611947
25.0,3.65660692289353,3.5747870608524415,3.7384267849346187
26.0,3.6350628834296375,3.553243021388549,3.716882745470726
27.0,3.664127870725839,3.5823080086847505,3.7459477327669277
28.0,3.6691812695023236,3.587361407461235,3.751001131543412
29.0,3.70207324238142,3.6202533803403316,3.783893104422509
30.0,3.7410788315396206,3.659258969498532,3.822898693580709
31.0,3.72641186137347,3.6445919993323814,3.8082317234145586
32.0,3.589686714662051,3.507866852620962,3.6715065767031394
33.0,3.5228074501141395,3.440987588073051,3.604627312155228
34.0,3.4741530905497653,3.3923332285086767,3.555972952590854
35.0,3.5747954875041037,3.492975625463015,3.6566153495451923
36.0,3.5752130633767436,3.493393201335655,3.657032925417832
37.0,3.565086341699882,3.4832664796587935,3.6469062037409707
38.0,3.633669396179411,3.5518495341383223,3.7154892582204995
39.0,3.69220169728418,3.6103818352430914,3.7740215593252686
40.0,3.6873848464324297,3.605564984391341,3.7692047084735183
41.0,3.684025490372165,3.6022056283310766,3.765845352413254
42.0,3.6533875607440756,3.571567698702987,3.735207422785164
43.0,3.6241557200626375,3.542335858021549,3.705975582103726
44.0,3.6377667215802068,3.555946859539118,3.7195865836212954
45.0,3.636470949257614,3.5546510872165253,3.7182908112987025
46.0,3.6959542327058728,3.614134370664784,3.7777740947469614
47.0,3.644989970403618,3.5631701083625296,3.7268098324447068
48.0,3.542646649807551,3.4608267877664622,3.6244665118486394
49.0,3.506097579674434,3.424277717633345,3.5879174417155224
50.0,3.5163817988660537,3.434561936824965,3.5982016609071423
51.0,3.514151255470398,3.4323313934293096,3.595971117511487
52.0,3.5100184412714466,3.428198579230358,3.591838303312535
53.0,3.5488038678686458,3.466984005827557,3.6306237299097344
54.0,3.5641678879166188,3.48234802587553,3.6459877499577074
55.0,3.5544244772241482,3.4726046151830596,3.636244339265237
56.0,3.5168045419089777,3.434984679867889,3.5986244039500663
57.0,3.5771522348670644,3.4953323728259758,3.658972096908153
58.0,3.6109150076447,3.5290951456036113,3.6927348696857885
59.0,3.664163035617614,3.5823431735765254,3.7459828976587026
60.0,3.6579268348160783,3.5761069727749897,3.739746696857167
61.0,3.689022430261012,3.6072025682199236,3.7708422923021008
62.0,3.6953730913783245,3.613553229337236,3.777192953419413
63.0,3.6636340863022734,3.581814224261185,3.745453948343362
64.0,3.6700335380128135,3.588213675971725,3.751853400053902
65.0,3.635548396673766,3.5537285346326772,3.7173682587148544
66.0,3.651782832282628,3.5699629702415394,3.7336026943237166
67.0,3.617531989768102,3.5357121277270136,3.699351851809191
68.0,3.613539179182002,3.5317193171409134,3.6953590412230906
69.0,3.619001058780434,3.5371811967393456,3.700820920821523
70.0,3.6088472295154195,3.527027367474331,3.690667091556508
71.0,3.584335355023232,3.5025154929821434,3.6661552170643206
72.0,3.5346589778622124,3.452839115821124,3.616478839903301
73.0,3.508313179413174,3.4264933173720853,3.5901330414542625
74.0,3.502775535815255,3.4209556737741664,3.5845953978563436
75.0,3.470118703247937,3.3882988412068484,3.5519385652890256
76.0,3.4807215457293395,3.398901683688251,3.562541407770428
77.0,3.464909944699779,3.3830900826586903,3.5467298067408675
78.0,3.4552123084205,3.3733924463794116,3.537032170461589
79.0,3.4516493907202284,3.3698295286791398,3.533469252761317
80.0,3.4332889389926384,3.35146907695155,3.515108801033727
81.0,3.4322074993797846,3.350387637338696,3.5140273614208732
82.0,3.406643258362273,3.3248233963211846,3.488463120403362
83.0,3.3858071871372775,3.303987325096189,3.467627049178366
84.0,3.4392899489583613,3.3574700869172727,3.52110981099945
85.0,3.438604198651549,3.3567843366104606,3.520424060692638
86.0,3.418701843362034,3.3368819813209454,3.5005217054031226
87.0,3.424868518152104,3.3430486561110153,3.5066883801931925
88.0,3.4292271212881063,3.3474072592470177,3.511046983329195
89.0,3.4141905738813993,3.3323707118403108,3.496010435922488
90.0,3.3870701749797187,3.30525031293863,3.4688900370208073
91.0,3.3718258600531867,3.290005998012098,3.4536457220942753
92.0,3.396640545326753,3.3148206832856646,3.478460407367842
93.0,3.387321823510724,3.3055019614696355,3.4691416855518127
94.0,3.4086048316523123,3.3267849696112237,3.490424693693401
95.0,3.4258985287333896,3.344078666692301,3.5077183907744782
96.0,3.42488862758432,3.3430687655432316,3.506708489625409
97.0,3.4128798056904377,3.331059943649349,3.4946996677315263
98.0,3.459477002512606,3.377657140471517,3.5412968645536944
99.0,3.505115161741234,3.4232952997001456,3.5869350237823228
100.0,3.5238245135712845,3.442004651530196,3.605644375612373
101.0,3.5420624969192183,3.4602426348781297,3.623882358960307
102.0,3.5444189164047897,3.462599054363701,3.6262387784458783
103.0,3.5771211100519276,3.495301248010839,3.658940972093016
104.0,3.5664010162673794,3.4845811542262908,3.648220878308468
105.0,3.573536337566173,3.4917164755250845,3.6553561996072617
106.0,3.563405480089392,3.4815856180483036,3.6452253421304808
107.0,3.5743430890972254,3.492523227056137,3.656162951138314
108.0,3.5746618927514278,3.492842030710339,3.6564817547925164
109.0,3.5906594914687875,3.508839629427699,3.672479353509876
110.0,3.564699971806483,3.4828801097653943,3.6465198338475715
111.0,3.5475967632863123,3.4657769012452238,3.629416625327401
112.0,3.5323696659001875,3.450549803859099,3.614189527941276
113.0,3.5118431200309073,3.4300232579898187,3.593662982071996
114.0,3.530049145964159,3.4482292839230704,3.6118690080052476
115.0,3.5166568804071305,3.434837018366042,3.598476742448219
116.0,3.5434116064200083,3.4615917443789197,3.625231468461097
117.0,3.5348534026988028,3.453033540657714,3.6166732647398914
118.0,3.539117728373711,3.4572978663326226,3.6209375904148
119.0,3.5605115167907138,3.478691654749625,3.6423313788318024
120.0,3.5626388152534,3.4808189532123115,3.6444586772944887
121.0,3.5641178131710185,3.48229795112993,3.645937675212107
122.0,3.5652650958013874,3.483445233760299,3.647084957842476
123.0,3.5700855811381533,3.4882657190970647,3.651905443179242
124.0,3.5856291149833974,3.503809252942309,3.667448977024486
125.0,3.5814245788270456,3.499604716785957,3.663244440868134
126.0,3.557442922019406,3.4756230599783176,3.6392627840604947
127.0,3.574520950674719,3.4927010886336305,3.6563408127158077
128.0,3.6045322494910352,3.5227123874499466,3.686352111532124
129.0,3.6229670092352855,3.541147147194197,3.704786871276374
130.0,3.6094619980648077,3.527642136023719,3.6912818601058963
131.0,3.6015383301331596,3.519718468092071,3.683358192174248
132.0,3.603722407482961,3.5219025454418724,3.6855422695240496
133.0,3.6213847875954204,3.5395649255543318,3.703204649636509
134.0,3.6217673069901535,3.539947444949065,3.703587169031242
135.0,3.6123854759146234,3.530565613873535,3.694205337955712
136.0,3.6124809208971045,3.530661058856016,3.694300782938193
137.0,3.6162386487709877,3.534418786729899,3.6980585108120763
138.0,3.618523471519362,3.5367036094782733,3.7003433335604505
139.0,3.657448522350137,3.5756286603090484,3.7392683843912256
140.0,3.6661470462351846,3.584327184194096,3.747966908276273
141.0,3.6690282359448396,3.587208373903751,3.750848097985928
142.0,3.6605889229616264,3.578769060920538,3.742408785002715
143.0,3.653878586420971,3.5720587243798825,3.7356984484620597
144.0,3.628256830111066,3.5464369680699774,3.7100766921521546
145.0,3.6183554090783514,3.536535547037263,3.70017527111944
146.0,3.592405812091124,3.5105859500500354,3.6742256741322126
147.0,3.6020245337367083,3.5202046716956197,3.683844395777797
148.0,3.586817335767146,3.5049974737260574,3.6686371978082346
149.0,3.5813267892606175,3.499506927219529,3.663146651301706
150.0,3.5790765579690067,3.497256695927918,3.6608964200100953
151.0,3.590717504792897,3.5088976427518084,3.6725373668339856
152.0,3.593529486957658,3.5117096249165694,3.6753493489987465
153.0,3.59976401661582,3.517944154574731,3.6815838786569084
154.0,3.59902173626481,3.5172018742237214,3.6808415983058986
155.0,3.613006508997668,3.5311866469565794,3.6948263710387566
156.0,3.630992044168222,3.5491721821271334,3.7128119062093106
157.0,3.6253807172852515,3.543560855244163,3.70720057932634
158.0,3.625158320048528,3.5433384580074394,3.7069781820896166
159.0,3.615653913001105,3.5338340509600163,3.6974737750421935
160.0,3.6019128884334166,3.520093026392328,3.683732750474505
161.0,3.5897200645957765,3.507900202554688,3.671539926636865
162.0,3.5741911207015264,3.492371258660438,3.656010982742615
163.0,3.577232722574077,3.4954128605329884,3.6590525846151656
164.0,3.57328088172457,3.491461019683481,3.6551007437656584
165.0,3.568033973379005,3.4862141113379166,3.649853835420094
166.0,3.561715827422673,3.4798959653815844,3.6435356894637616
167.0,3.558324691245146,3.4765048292040572,3.6401445532862344
168.0,3.558942423261346,3.4771225612202574,3.6407622853024346
169.0,3.5693237925452173,3.4875039305041287,3.651143654586306
170.0,3.5745710524765943,3.4927511904355057,3.656390914517683
171.0,3.552124423533685,3.4703045614925965,3.6339442855747737
172.0,3.5461744554793095,3.464354593438221,3.627994317520398
173.0,3.531788128302588,3.449968266261499,3.6136079903436764
174.0,3.53641792995643,3.454598067915341,3.6182377919975184
175.0,3.541623258016276,3.4598033959751873,3.6234431200573645
176.0,3.5329836353497073,3.4511637733086187,3.614803497390796
177.0,3.52242642192823,3.4406065598871414,3.6042462839693186
178.0,3.511463951888911,3.429644089847822,3.5932838139299994
179.0,3.5148255570695044,3.433005695028416,3.596645419110593
180.0,3.53609927130295,3.4542794092618614,3.6179191333440386
181.0,3.5413526487661393,3.4595327867250507,3.623172510807228
182.0,3.546902818530604,3.4650829564895154,3.6287226805716926
183.0,3.5342581945805227,3.452438332539434,3.6160780566216113
184.0,3.542090324254231,3.4602704622131424,3.6239101862953196
185.0,3.539654425163987,3.4578345631228986,3.621474287205076
186.0,3.5236236782731734,3.4418038162320848,3.605443540314262
187.0,3.522246022317941,3.440426160276852,3.6040658843590294
188.0,3.5148133283248213,3.4329934662837327,3.59663319036591
189.0,3.510494460596389,3.4286745985553004,3.5923143226374776
190.0,3.538513837678298,3.4566939756372093,3.6203336997193865
191.0,3.536639177999961,3.4548193159588725,3.6184590400410497
192.0,3.536022136358575,3.4542022743174865,3.6178419983996637
193.0,3.53005091990298,3.4482310578618915,3.6118707819440687
194.0,3.5235778872822285,3.44175802524114,3.605397749323317
195.0,3.5050544276446476,3.423234565603559,3.586874289685736
196.0,3.4870644747529633,3.4052446127118747,3.568884336794052
197.0,3.495539866255593,3.4137200042145044,3.5773597282966816
198.0,3.4977032443804634,3.415883382339375,3.579523106421552
199.0,3.4903824310723777,3.408562569031289,3.5722022931134663
