"X0","X1","X2","X3","X4","X5","X6","X7"
2.0229254288261175e+03,3.6196081239447267e+01,4.9689288229958876e+01,5.4239052902764314e+01,2.9946640147196820e+02,4.9994766569510148e+03,5.5789699255830655e+01,2.5708482939943815e+00
1.2725988007867650e+03,2.9728700203257954e+01,5.0023098975213841e+01,5.4735554523076871e+01,2.9768974030225729e+02,5.0003901227978740e+03,5.5706292300625272e+01,3.3687804342122298e+00
2.4310457246211963e+03,3.5120457704562170e+01,5.0451768394634051e+01,5.4033212539159919e+01,2.9907685758887715e+02,5.0055411744118783e+03,5.5371620473353175e+01,2.4231845744176659e+00
2.0407210732092781e+03,2.8121846905204855e+01,5.0232079433306076e+01,5.4187815237927779e+01,2.9927699235022050e+02,5.0045496017792866e+03,5.5135410765949409e+01,2.8265490653760073e+00
1.5390265073896444e+03,1.8732334456946511e+01,5.0968578914558833e+01,5.5643901554610572e+01,2.9747709606928595e+02,4.9991492311010670e+03,5.5472497014404610e+01,2.1780488678798426e+00
1.9964550385868511e+03,2.9950100540710515e+01,4.9552406289145864e+01,5.4612466902833098e+01,2.9779948236584892e+02,5.0068162738111969e+03,5.5637275832264578e+01,2.0555322504193598e+00
2.0658440910024292e+03,2.5819496417755509e+01,4.9172450103853194e+01,5.5943310881197149e+01,2.9821255335522335e+02,4.9990864102145852e+03,5.5379688039233407e+01,2.3020473122687886e+00
7.4046393021566564e+02,1.4308528591130926e+01,5.0617829469699707e+01,5.4873929666041739e+01,2.9912051013430812e+02,4.9943756641207465e+03,5.5590134515952791e+01,3.2364871106020709e+00
1.9985457462429167e+02,2.1794444178340587e+01,4.9360882911360235e+01,5.5362071146292578e+01,2.9970255549619537e+02,5.0034324270331781e+03,5.5269997954989535e+01,2.8193153423386423e+00
1.9531735193864057e+02,3.0685505920561813e+01,4.9960825712909084e+01,5.4001714566951193e+01,2.9600011285205773e+02,4.9949613711783095e+03,5.5762663713945955e+01,2.9175819775866718e+00
-4.1156649299062951e+02,2.3906242083542203e+01,4.9723929151378137e+01,5.5527883461264416e+01,3.0164536402260279e+02,4.9951046864257014e+03,5.5531382763338691e+01,3.7524393502424362e+00
-2.0729246593440359e+02,2.4547744303846763e+01,5.0565154636696263e+01,5.4564417225957769e+01,3.0001316440881874e+02,5.0011832503178648e+03,5.5535257832545078e+01,2.4265384918718977e+00
2.9016419396922583e+03,3.8571988881171606e+01,5.0604216491226808e+01,5.5572373696702932e+01,3.0178047559677765e+02,4.9977614289276744e+03,5.5666670002921123e+01,2.3098877170312742e+00
2.6585312857384952e+03,3.7606612677195784e+01,5.0954475106471897e+01,5.4080114324009131e+01,3.0070689787073098e+02,4.9984250400930787e+03,5.5508403477822199e+01,2.6325580271609521e+00
1.5229736914327923e+03,3.0719649246381657e+01,5.0493249828924675e+01,5.4592581893520666e+01,2.9975740720760371e+02,4.9955715874546495e+03,5.5646960338206881e+01,3.8154431451250952e+00
